2020-06-30 02:11:00,948 | INFO | AbstractLogger.java 386 | Detected and using LRUCacheFactory: camel-caffeine-lrucache
2020-06-30 02:11:02,836 | INFO | AbstractLogger.java 393 | Apache Camel 3.4.0 (camel-1) is starting
2020-06-30 02:11:02,850 | INFO | AbstractLogger.java 382 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2020-06-30 02:11:02,852 | INFO | AbstractLogger.java 386 | Using HealthCheck: camel-health
2020-06-30 02:11:02,927 | INFO | AbstractLogger.java 382 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2020-06-30 02:11:02,927 | INFO | AbstractLogger.java 386 | Using default memory based idempotent repository with cache max size: 1000
2020-06-30 02:11:03,007 | INFO | AbstractLogger.java 382 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2020-06-30 02:11:03,008 | INFO | AbstractLogger.java 386 | Using default memory based idempotent repository with cache max size: 1000
2020-06-30 02:11:03,031 | INFO | AbstractLogger.java 382 | Route: route1 started and consuming from: file://data/input
2020-06-30 02:11:03,077 | INFO | AbstractLogger.java 382 | Route: route2 started and consuming from: file://data/input1
2020-06-30 02:11:03,078 | INFO | AbstractLogger.java 393 | Total 2 routes, of which 2 are started
2020-06-30 02:11:03,080 | INFO | AbstractLogger.java 403 | Apache Camel 3.4.0 (camel-1) started in 0.233 seconds
2020-06-30 02:11:04,107 | INFO | AbstractLogger.java 382 | Exchange[ExchangePattern: InOnly, Headers: {CamelFileAbsolute=false, CamelFileAbsolutePath=C:\Users\Debajoy\IdeaProjects\ApacheCamel\data\input\file1, CamelFileLastModified=1593458520598, CamelFileLength=5, CamelFileName=file1, CamelFileNameConsumed=file1, CamelFileNameOnly=file1, CamelFileParent=data\input, CamelFilePath=data\input\file1, CamelFileRelativePath=file1}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file1]]]
2020-06-30 02:11:04,384 | INFO | AbstractLogger.java 382 | Exchange[ExchangePattern: InOnly, Headers: {CamelFileAbsolute=false, CamelFileAbsolutePath=C:\Users\Debajoy\IdeaProjects\ApacheCamel\data\input\file2, CamelFileLastModified=1593458534383, CamelFileLength=8, CamelFileName=file2, CamelFileNameConsumed=file2, CamelFileNameOnly=file2, CamelFileParent=data\input, CamelFilePath=data\input\file2, CamelFileRelativePath=file2}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file2]]]
2020-06-30 02:11:08,081 | INFO | AbstractLogger.java 393 | Apache Camel 3.4.0 (camel-1) is shutting down
2020-06-30 02:11:08,085 | INFO | AbstractLogger.java 403 | Starting to graceful shutdown 2 routes (timeout 45 seconds)
2020-06-30 02:11:08,099 | INFO | AbstractLogger.java 393 | Route: route2 shutdown complete, was consuming from: file://data/input1
2020-06-30 02:11:08,101 | INFO | AbstractLogger.java 393 | Route: route1 shutdown complete, was consuming from: file://data/input
2020-06-30 02:11:08,104 | INFO | AbstractLogger.java 393 | Graceful shutdown of 2 routes completed in 0 seconds
2020-06-30 02:11:08,122 | INFO | AbstractLogger.java 403 | Apache Camel 3.4.0 (camel-1) uptime 5.277 seconds
2020-06-30 02:11:08,123 | INFO | AbstractLogger.java 403 | Apache Camel 3.4.0 (camel-1) is shutdown in 0.041 seconds
2020-06-30 02:37:32,064 | INFO | AbstractLogger.java 382 | ********************************************************************************
2020-06-30 02:37:32,070 | INFO | AbstractLogger.java 382 | Testing: checkOutpoutDirectory(TestRouteBuilderCustom)
2020-06-30 02:37:32,071 | INFO | AbstractLogger.java 382 | ********************************************************************************
2020-06-30 02:37:32,418 | INFO | AbstractLogger.java 386 | Detected and using LRUCacheFactory: camel-caffeine-lrucache
2020-06-30 02:37:33,373 | INFO | AbstractLogger.java 393 | Apache Camel 3.4.0 (camel-1) is starting
2020-06-30 02:37:33,375 | INFO | AbstractLogger.java 382 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2020-06-30 02:37:33,376 | INFO | AbstractLogger.java 386 | Using HealthCheck: camel-health
2020-06-30 02:37:33,404 | INFO | AbstractLogger.java 382 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2020-06-30 02:37:33,405 | INFO | AbstractLogger.java 386 | Using default memory based idempotent repository with cache max size: 1000
2020-06-30 02:37:33,440 | INFO | AbstractLogger.java 382 | Route: route1 started and consuming from: file://data/input
2020-06-30 02:37:33,443 | INFO | AbstractLogger.java 393 | Total 1 routes, of which 1 are started
2020-06-30 02:37:33,444 | INFO | AbstractLogger.java 403 | Apache Camel 3.4.0 (camel-1) started in 0.069 seconds
2020-06-30 02:37:34,495 | INFO | AbstractLogger.java 382 | Exchange[ExchangePattern: InOnly, Headers: {CamelFileAbsolute=false, CamelFileAbsolutePath=C:\Users\Debajoy\IdeaProjects\ApacheCamel\data\input\file1, CamelFileLastModified=1593458520598, CamelFileLength=5, CamelFileName=file1, CamelFileNameConsumed=file1, CamelFileNameOnly=file1, CamelFileParent=data\input, CamelFilePath=data\input\file1, CamelFileRelativePath=file1}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file1]]]
2020-06-30 02:37:34,548 | INFO | AbstractLogger.java 382 | Exchange[ExchangePattern: InOnly, Headers: {CamelFileAbsolute=false, CamelFileAbsolutePath=C:\Users\Debajoy\IdeaProjects\ApacheCamel\data\input\file2, CamelFileLastModified=1593458534383, CamelFileLength=8, CamelFileName=file2, CamelFileNameConsumed=file2, CamelFileNameOnly=file2, CamelFileParent=data\input, CamelFilePath=data\input\file2, CamelFileRelativePath=file2}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file2]]]
2020-06-30 02:37:38,447 | INFO | AbstractLogger.java 382 | ********************************************************************************
2020-06-30 02:37:38,448 | INFO | AbstractLogger.java 382 | Testing done: checkOutpoutDirectory(TestRouteBuilderCustom)
2020-06-30 02:37:38,451 | INFO | AbstractLogger.java 382 | Took: 5.001 seconds (5001 millis)
2020-06-30 02:37:38,451 | INFO | AbstractLogger.java 382 | ********************************************************************************
2020-06-30 02:37:38,457 | INFO | AbstractLogger.java 393 | Apache Camel 3.4.0 (camel-1) is shutting down
2020-06-30 02:37:38,459 | INFO | AbstractLogger.java 403 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2020-06-30 02:37:38,465 | INFO | AbstractLogger.java 393 | Route: route1 shutdown complete, was consuming from: file://data/input
2020-06-30 02:37:38,466 | INFO | AbstractLogger.java 393 | Graceful shutdown of 1 routes completed in 0 seconds
2020-06-30 02:37:38,475 | INFO | AbstractLogger.java 403 | Apache Camel 3.4.0 (camel-1) uptime 5.101 seconds
2020-06-30 02:37:38,476 | INFO | AbstractLogger.java 403 | Apache Camel 3.4.0 (camel-1) is shutdown in 0.019 seconds
2020-06-30 11:12:16,526 | INFO | AbstractLogger.java 382 | ********************************************************************************
2020-06-30 11:12:16,671 | INFO | AbstractLogger.java 382 | Testing: checkOutpoutDirectory(TestRouteBuilderCustom)
2020-06-30 11:12:16,672 | INFO | AbstractLogger.java 382 | ********************************************************************************
2020-06-30 11:12:17,207 | INFO | AbstractLogger.java 386 | Detected and using LRUCacheFactory: camel-caffeine-lrucache
2020-06-30 11:12:19,125 | INFO | AbstractLogger.java 393 | Apache Camel 3.4.0 (camel-1) is starting
2020-06-30 11:12:19,127 | INFO | AbstractLogger.java 382 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2020-06-30 11:12:19,130 | INFO | AbstractLogger.java 386 | Using HealthCheck: camel-health
2020-06-30 11:12:19,154 | INFO | AbstractLogger.java 382 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2020-06-30 11:12:19,154 | INFO | AbstractLogger.java 386 | Using default memory based idempotent repository with cache max size: 1000
2020-06-30 11:12:19,190 | INFO | AbstractLogger.java 382 | Route: route1 started and consuming from: file://data/input
2020-06-30 11:12:19,193 | INFO | AbstractLogger.java 393 | Total 1 routes, of which 1 are started
2020-06-30 11:12:19,195 | INFO | AbstractLogger.java 403 | Apache Camel 3.4.0 (camel-1) started in 0.068 seconds
2020-06-30 11:12:20,273 | INFO | AbstractLogger.java 382 | Exchange[ExchangePattern: InOnly, Headers: {CamelFileAbsolute=false, CamelFileAbsolutePath=C:\Users\Debajoy\IdeaProjects\ApacheCamel\data\input\file1, CamelFileLastModified=1593458520598, CamelFileLength=5, CamelFileName=file1, CamelFileNameConsumed=file1, CamelFileNameOnly=file1, CamelFileParent=data\input, CamelFilePath=data\input\file1, CamelFileRelativePath=file1}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file1]]]
2020-06-30 11:12:20,325 | INFO | AbstractLogger.java 382 | Exchange[ExchangePattern: InOnly, Headers: {CamelFileAbsolute=false, CamelFileAbsolutePath=C:\Users\Debajoy\IdeaProjects\ApacheCamel\data\input\file2, CamelFileLastModified=1593458534383, CamelFileLength=8, CamelFileName=file2, CamelFileNameConsumed=file2, CamelFileNameOnly=file2, CamelFileParent=data\input, CamelFilePath=data\input\file2, CamelFileRelativePath=file2}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file2]]]
2020-06-30 11:12:24,218 | INFO | AbstractLogger.java 382 | ********************************************************************************
2020-06-30 11:12:24,219 | INFO | AbstractLogger.java 382 | Testing done: checkOutpoutDirectory(TestRouteBuilderCustom)
2020-06-30 11:12:24,222 | INFO | AbstractLogger.java 382 | Took: 5.020 seconds (5020 millis)
2020-06-30 11:12:24,223 | INFO | AbstractLogger.java 382 | ********************************************************************************
2020-06-30 11:12:24,231 | INFO | AbstractLogger.java 393 | Apache Camel 3.4.0 (camel-1) is shutting down
2020-06-30 11:12:24,235 | INFO | AbstractLogger.java 403 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2020-06-30 11:12:24,244 | INFO | AbstractLogger.java 393 | Route: route1 shutdown complete, was consuming from: file://data/input
2020-06-30 11:12:24,246 | INFO | AbstractLogger.java 393 | Graceful shutdown of 1 routes completed in 0 seconds
2020-06-30 11:12:24,256 | INFO | AbstractLogger.java 403 | Apache Camel 3.4.0 (camel-1) uptime 5.131 seconds
2020-06-30 11:12:24,257 | INFO | AbstractLogger.java 403 | Apache Camel 3.4.0 (camel-1) is shutdown in 0.026 seconds
2020-06-30 12:29:24,388 | INFO | AbstractLogger.java 382 | ********************************************************************************
2020-06-30 12:29:24,394 | INFO | AbstractLogger.java 382 | Testing: checkOutpoutDirectory(TestCamelProcessor)
2020-06-30 12:29:24,395 | INFO | AbstractLogger.java 382 | ********************************************************************************
